"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"AC091488.1","Unmatched","","","",""
"AC009506.1","Unmatched","","","",""
"AC009961.1","Unmatched","","","",""
"MARCH7","Previous symbol","MARCHF7","membrane associated ring-CH-type finger 7","HGNC:17393","2q24.2"
"AC007405.3","Unmatched","","","",""
"AC010894.2","Unmatched","","","",""
"TTC30B","Previous symbol","IFT70B","intraflagellar transport 70B","HGNC:26425","2q31.2"
"TTC30A","Previous symbol","IFT70A","intraflagellar transport 70A","HGNC:25853","2q31.2"
"AC108047.1","Unmatched","","","",""
"FAM126B","Previous symbol","HYCC2","hyccin PI4KA lipid kinase complex subunit 2","HGNC:28593","2q33.1"
"AC069148.1","Unmatched","","","",""
"AC064836.3","Unmatched","","","",""
"AC007383.2","Alias symbol","INO80D-AS1","INO80D antisense RNA 1","HGNC:55803","2q33.3"
"AC007038.2","Unmatched","","","",""
"AC079610.1","Unmatched","","","",""
"AC098820.1","Unmatched","","","",""
"AC021016.3","Unmatched","","","",""
"AC097662.1","Unmatched","","","",""
"AC104667.2","Unmatched","","","",""
"AC024060.2","Unmatched","","","",""
"AC018816.1","Unmatched","","","",""
"AC083855.2","Unmatched","","","",""
"AC061958.1","Unmatched","","","",""
"AC097639.1","Unmatched","","","",""
"AC112220.2","Unmatched","","","",""
"QARS","Previous symbol","EPRS1","glutamyl-prolyl-tRNA synthetase 1","HGNC:3418","1q41"
"QARS","Previous symbol","QARS1","glutaminyl-tRNA synthetase 1","HGNC:9751","3p21.31"
"CYB561D2-1","Unmatched","","","",""
"SMIM4","Previous symbol","UQCC5","ubiquinol-cytochrome c reductase complex assembly factor 5","HGNC:37257","3p21.1"
"AC012467.2","Unmatched","","","",""
"C3orf67","Previous symbol","CFAP20DC","CFAP20 domain containing","HGNC:24763","3p14.2"
"C3orf14","Previous symbol","CEP15","centrosomal protein 15","HGNC:25024","3p14.2"
"AC104162.2","Unmatched","","","",""
"SUCLG2-AS1","Previous symbol","SUCLG2-DT","SUCLG2 divergent transcript","HGNC:49643","3p14.1"
"MAATS1","Previous symbol","CFAP91","cilia and flagella associated protein 91","HGNC:24010","3q13.33"
"AC092910.3","Unmatched","","","",""
"CCDC58","Previous symbol","MIX23","mitochondrial matrix import factor 23","HGNC:31136","3q21.1"
"AC083798.2","Unmatched","","","",""
"ALG1L","Previous symbol","ALG1L1P","ALG1 like 1, pseudogene","HGNC:33721","3q21.2"
"AC079848.1","Unmatched","","","",""
"AC112484.3","Unmatched","","","",""
"KIAA1257","Previous symbol","CFAP92","cilia and flagella associated protein 92 (putative)","HGNC:29231","3q21.3"
"AC108673.3","Unmatched","","","",""
"AC137695.3","Unmatched","","","",""
"H1FX-AS1","Previous symbol","H1-10-AS1","H1-10 antisense RNA 1","HGNC:27953","3q21.3"
"AC083799.1","Unmatched","","","",""
"TMCC1-AS1","Previous symbol","TMCC1-DT","TMCC1 divergent transcript","HGNC:49060","3q22.1"
"AC010210.1","Unmatched","","","",""
"ACPP","Previous symbol","ACP3","acid phosphatase 3","HGNC:125","3q22.1"
"AC096992.2","Unmatched","","","",""
"AC046134.2","Unmatched","","","",""
"AC026304.1","Unmatched","","","",""
"AC091607.2","Unmatched","","","",""
"AC084036.1","Unmatched","","","",""
"AC092944.1","Unmatched","","","",""
"AC106707.1","Unmatched","","","",""
"AC080013.4","Unmatched","","","",""
"AC080013.6","Unmatched","","","",""
"AC080013.1","Unmatched","","","",""
"AC080013.3","Unmatched","","","",""
"AC112770.1","Unmatched","","","",""
"LINC00884","Previous symbol","ATP13A3-DT","ATP13A3 divergent transcript","HGNC:48570","3q29"
"AC233280.1","Unmatched","","","",""
"TCTEX1D2","Previous symbol","DYNLT2B","dynein light chain Tctex-type 2B","HGNC:28482","3q29"
"AC024560.4","Unmatched","","","",""
"AC024560.1","Unmatched","","","",""
"AC139887.2","Unmatched","","","",""
"CRIPAK","Entry withdrawn","CRIPAK","","HGNC:26619",""
"AC016773.1","Unmatched","","","",""
"C4orf48","Previous symbol","NICOL1","NELL2 interacting cell ontogeny regulator 1","HGNC:34437","4p16.3"
"AC093323.1","Unmatched","","","",""
"AC106045.1","Unmatched","","","",""
"AC104825.1","Unmatched","","","",""
"AC024230.1","Unmatched","","","",""
"AC107068.1","Unmatched","","","",""
"USP46-AS1","Previous symbol","USP46-DT","USP46 divergent transcript","HGNC:43991","4q12"
"UBA6-AS1","Previous symbol","UBA6-DT","UBA6 divergent transcript","HGNC:49083","4q13.2"
"AC124016.1","Unmatched","","","",""
"AC093827.4","Unmatched","","","",""
"AC019131.2","Unmatched","","","",""
"AP002026.1","Unmatched","","","",""
"H2AFZ","Previous symbol","H2AZ1","H2A.Z variant histone 1","HGNC:4741","4q23"
"AP001816.1","Unmatched","","","",""
"AC098487.1","Unmatched","","","",""
"AC004069.1","Unmatched","","","",""
"AC096564.1","Unmatched","","","",""
"AC109347.2","Unmatched","","","",""
"TMEM155","Entry withdrawn","TMEM155","","HGNC:26418",""
"AC079341.1","Unmatched","","","",""
"KIAA1109","Previous symbol","BLTP1","bridge-like lipid transfer protein family member 1","HGNC:26953","4q27"
"SPATA5","Previous symbol","AFG2A","AAA ATPase AFG2A","HGNC:18119","4q28.1"
"AC097376.3","Unmatched","","","",""
"FAM160A1","Previous symbol","FHIP1A","FHF complex subunit HOOK interacting protein 1A","HGNC:34237","4q31.3"
"AC104083.1","Unmatched","","","",""
"AC093817.2","Unmatched","","","",""
"MARCH1","Previous symbol","MARCHF1","membrane associated ring-CH-type finger 1","HGNC:26077","4q32.2-q32.3"
"AC105285.1","Unmatched","","","",""
"AC097534.2","Unmatched","","","",""
"AC093849.2","Unmatched","","","",""
"AC107214.1","Unmatched","","","",""
"AC099343.3","Unmatched","","","",""
"AC026748.3","Unmatched","","","",""
"AC025183.1","Unmatched","","","",""
"AC124852.1","Unmatched","","","",""
"C5orf38","Previous symbol","IRX2-DT","IRX2 divergent transcript","HGNC:24226","5p15.33"
"AC091978.1","Unmatched","","","",""
"C5orf49","Previous symbol","CFAP90","cilia and flagella associated protein 90","HGNC:27028","5p15.31"
"AC012640.2","Unmatched","","","",""
"MARCH6","Previous symbol","MARCHF6","membrane associated ring-CH-type finger 6","HGNC:30550","5p15.2"
"AC026785.3","Unmatched","","","",""
"AC025181.2","Unmatched","","","",""
"TARS","Previous symbol","TARS1","threonyl-tRNA synthetase 1","HGNC:11572","5p13.3"
"AC026801.2","Unmatched","","","",""
"AC025449.2","Unmatched","","","",""
"OSMR-AS1","Previous symbol","OSMR-DT","OSMR divergent transcript","HGNC:50296","5p13.1"
"C5orf51","Previous symbol","RIMOC1","RAB7A interacting MON1-CCZ1 complex subunit 1","HGNC:27750","5p13.1"
"AC008875.3","Unmatched","","","",""
"AC025171.1","Unmatched","","","",""
"AC093297.2","Unmatched","","","",""
"AC010273.3","Unmatched","","","",""
"MRPS36","Previous symbol","KGD4","alpha-ketoglutarate dehydrogenase subunit 4","HGNC:16631","5q13.2"
"AC146944.4","Unmatched","","","",""
"AC008771.1","Unmatched","","","",""
"TMEM161B-AS1","Previous symbol","TMEM161B-DT","TMEM161B divergent transcript","HGNC:43839","5q14.3"
"FAM172A","Previous symbol","ARB2A","ARB2 cotranscriptional regulator A","HGNC:25365","5q15"
"TTC37","Previous symbol","SKIC3","SKI3 subunit of superkiller complex","HGNC:23639","5q15"
"AC008592.5","Unmatched","","","",""
"LINC02062","Previous symbol","CHD1-DT","CHD1 divergent transcript","HGNC:52907","5q21.1"
"C5orf30","Previous symbol","MACIR","macrophage immunometabolism regulator","HGNC:25052","5q21.1"
"AC010226.1","Unmatched","","","",""
"AC034236.2","Unmatched","","","",""
"AC022101.1","Unmatched","","","",""
"MARCH3","Previous symbol","MARCHF3","membrane associated ring-CH-type finger 3","HGNC:28728","5q23.2"
"LINC01184","Previous symbol","SLC12A2-DT","SLC12A2 divergent transcript","HGNC:49565","5q23.3"
"C5orf56","Previous symbol","CARINH","colitis associated IRF1 antisense regulator of intestinal homeostasis","HGNC:33838","5q31.1"
"AC113410.4","Unmatched","","","",""
"AC008608.2","Unmatched","","","",""
"C5orf66","Previous symbol","PITX1-AS1","PITX1 antisense RNA 1","HGNC:48332","5q31.1"
"C5orf66-AS1","Previous symbol","EPIST","esophagus epithelial intergenic associated transcript","HGNC:49679","5q31.1"
"H2AFY","Previous symbol","MACROH2A1","macroH2A.1 histone","HGNC:4740","5q31.1"
"AC026691.1","Unmatched","","","",""
"AC106791.1","Unmatched","","","",""
"TMEM173","Previous symbol","STING1","stimulator of interferon response cGAMP interactor 1","HGNC:27962","5q31.2"
"MALINC1","Approved symbol","MALINC1","mitosis associated long intergenic non-coding RNA 1","HGNC:49009","5q31.2"
"HARS","Previous symbol","HARS1","histidyl-tRNA synthetase 1","HGNC:4816","5q31.3"
"AC008781.1","Unmatched","","","",""
"LARS","Previous symbol","LARS1","leucyl-tRNA synthetase 1","HGNC:6512","5q32"
"AC011374.1","Unmatched","","","",""
"ZBED8","Previous symbol","FAM200C","family with sequence similarity 200 member C","HGNC:30804","5q33.3"
"AC026689.1","Unmatched","","","",""
"RARS","Previous symbol","RARS1","arginyl-tRNA synthetase 1","HGNC:9870","5q34"
"AC139795.3","Unmatched","","","",""
"AC136604.3","Unmatched","","","",""
"AC008610.1","Unmatched","","","",""
"AC034213.1","Unmatched","","","",""
"AC008443.5","Unmatched","","","",""
"AC008443.1","Unmatched","","","",""
"AL512329.2","Unmatched","","","",""
"AL391422.4","Unmatched","","","",""
"AL359643.3","Unmatched","","","",""
"AL021328.1","Unmatched","","","",""
"AL031123.2","Unmatched","","","",""
"AL031123.1","Unmatched","","","",""
"AL031123.5","Unmatched","","","",""
"AL031058.1","Unmatched","","","",""
"HULC","Approved symbol","HULC","hepatocellular carcinoma up-regulated long non-coding RNA","HGNC:34232","6p24.3"
"AL024498.1","Unmatched","","","",""
"AL441883.1","Unmatched","","","",""
"AL138724.1","Unmatched","","","",""
"AL031775.1","Unmatched","","","",""
"U91328.1","Unmatched","","","",""
"HIST1H1C","Previous symbol","H1-2","H1.2 linker histone, cluster member","HGNC:4716","6p22.2"
"HIST1H4C","Previous symbol","H4C3","H4 clustered histone 3","HGNC:4787","6p22.2"
"HIST1H2BC","Previous symbol","H2BC4","H2B clustered histone 4","HGNC:4757","6p22.2"
"HIST1H2AC","Previous symbol","H2AC6","H2A clustered histone 6","HGNC:4733","6p22.2"
"HIST1H2BD","Previous symbol","H2BC5","H2B clustered histone 5","HGNC:4747","6p22.2"
"HIST1H2BG","Previous symbol","H2BC8","H2B clustered histone 8","HGNC:4746","6p22.2"
"HIST1H2AE","Previous symbol","H2AC8","H2A clustered histone 8","HGNC:4724","6p22.2"
"HIST1H2BH","Previous symbol","H2BC9","H2B clustered histone 9","HGNC:4755","6p22.2"
"HIST1H4H","Previous symbol","H4C8","H4 clustered histone 8","HGNC:4788","6p22.2"
"AL513548.1","Unmatched","","","",""
"AL021807.1","Unmatched","","","",""
"HIST1H2BJ","Previous symbol","H2BC11","H2B clustered histone 11","HGNC:4761","6p22.1"
"HIST1H2AG","Previous symbol","H2AC11","H2A clustered histone 11","HGNC:4737","6p22.1"
"AL009179.2","Unmatched","","","",""
"HIST1H3H","Previous symbol","H3C10","H3 clustered histone 10","HGNC:4775","6p22.1"
"HIST1H4J","Previous symbol","H4C11","H4 clustered histone 11","HGNC:4785","6p22.1"
"HIST1H2BN","Previous symbol","H2BC15","H2B clustered histone 15","HGNC:4749","6p22.1"
"AL121944.1","Unmatched","","","",""
"ZNRD1","Previous symbol","POLR1H","RNA polymerase I subunit H","HGNC:13182","6p22.1"
"VARS","Previous symbol","VARS1","valyl-tRNA synthetase 1","HGNC:12651","6p21.33"
"SKIV2L","Previous symbol","SKIC2","SKI2 subunit of superkiller complex","HGNC:10898","6p21.33"
"AL662884.3","Unmatched","","","",""
"AL451165.2","Unmatched","","","",""
"UHRF1BP1","Previous symbol","BLTP3A","bridge-like lipid transfer protein family member 3A","HGNC:21216","6p21.31"
"AL035587.2","Unmatched","","","",""
"AL109615.3","Alias symbol","SCIRT","stem cell inhibitory RNA transcript","HGNC:55341","6p21.1"
"AL133334.1","Unmatched","","","",""
"AL355353.1","Unmatched","","","",""
"ICK","Previous symbol","CILK1","ciliogenesis associated kinase 1","HGNC:21219","6p12.1"
"AL590652.1","Unmatched","","","",""
"AL033384.1","Unmatched","","","",""
"AL021368.2","Unmatched","","","",""
"AL445250.1","Unmatched","","","",""
"AL135905.1","Unmatched","","","",""
"AL135905.2","Unmatched","","","",""
"AC019205.1","Unmatched","","","",""
"AL359715.3","Unmatched","","","",""
"AL513550.1","Unmatched","","","",""
"AL133338.1","Unmatched","","","",""
"LINC00271","Previous symbol","AHI1-DT","AHI1 divergent transcript","HGNC:32526","6q23.3"
"AL023284.4","Unmatched","","","",""
"AL024508.2","Unmatched","","","",""
"AL590617.2","Unmatched","","","",""
"AL356599.1","Unmatched","","","",""
"AL358852.1","Unmatched","","","",""
"AL355312.4","Unmatched","","","",""
"AL078582.1","Unmatched","","","",""
"AL080276.2","Unmatched","","","",""
"AL035530.2","Unmatched","","","",""
"AL356417.2","Unmatched","","","",""
"AL391361.2","Unmatched","","","",""
"AL139393.2","Unmatched","","","",""
"AL139393.1","Unmatched","","","",""
"AL139393.3","Unmatched","","","",""
"AL450345.2","Unmatched","","","",""
"AL590302.1","Unmatched","","","",""
"AL627443.3","Unmatched","","","",""
"FGFR1OP","Previous symbol","CEP43","centrosomal protein 43","HGNC:17012","6q27"
"AL009178.3","Unmatched","","","",""
"BX322234.1","Unmatched","","","",""
"AL135910.1","Unmatched","","","",""
"AL354892.2","Unmatched","","","",""
"TCTE3","Previous symbol","DYNLT2","dynein light chain Tctex-type 2","HGNC:11695","6q27"
"AL596442.2","Unmatched","","","",""
"AC093627.5","Unmatched","","","",""
"AC093627.4","Unmatched","","","",""
"AC091729.3","Unmatched","","","",""
"AC102953.2","Unmatched","","","",""
"AC072054.1","Unmatched","","","",""
"AC092171.4","Unmatched","","","",""
"AC092171.5","Alias symbol","LINC03073","long intergenic non-protein coding RNA 3073","HGNC:56651","7p22.1"
"C7orf26","Previous symbol","INTS15","integrator complex subunit 15","HGNC:21702","7p22.1"
"AC004982.2","Unmatched","","","",""
"AC007009.1","Unmatched","","","",""
"AC073332.1","Unmatched","","","",""
"TWISTNB","Previous symbol","POLR1F","RNA polymerase I subunit F","HGNC:18027","7p21.1"
"AC004130.2","Unmatched","","","",""
"FAM126A","Previous symbol","HYCC1","hyccin PI4KA lipid kinase complex subunit 1","HGNC:24587","7p15.3"
"MPP6","Previous symbol","PALS2","protein associated with LIN7 2, MAGUK p55 family member","HGNC:18167","7p15.3"
"MPP6","Alias symbol","MPHOSPH6","M-phase phosphoprotein 6","HGNC:7214","16q23.3"
"C7orf31","Previous symbol","SPMIP4","sperm microtubule inner protein 4","HGNC:21722","7p15.3"
"AC004540.1","Unmatched","","","",""
"AC005162.3","Unmatched","","","",""
"GARS-DT","Previous symbol","GARS1-DT","GARS1 divergent transcript","HGNC:48951","7p14.3"
"GARS","Previous symbol","GARS1","glycyl-tRNA synthetase 1","HGNC:4162","7p14.3"
"AC018645.3","Unmatched","","","",""
"AC018647.2","Unmatched","","","",""
"KIAA0895","Previous symbol","MATCAP2","microtubule associated tyrosine carboxypeptidase 2","HGNC:22206","7p14.2"
"AC004951.1","Unmatched","","","",""
"H2AFV","Previous symbol","H2AZ2","H2A.Z variant histone 2","HGNC:20664","7p13"
"AC004854.2","Unmatched","","","",""
"AC004870.2","Unmatched","","","",""
"AC016769.5","Unmatched","","","",""
"AC073349.1","Unmatched","","","",""
"AC073210.3","Unmatched","","","",""
"AC008267.5","Unmatched","","","",""
"AC006001.2","Unmatched","","","",""
"AC027644.3","Unmatched","","","",""
"AC006480.2","Unmatched","","","",""
"AC211476.6","Unmatched","","","",""
"KIAA1324L","Previous symbol","ELAPOR2","endosome-lysosome associated apoptosis and autophagy regulator family member 2","HGNC:21945","7q21.12"
"AC005076.1","Unmatched","","","",""
"AC002456.1","Unmatched","","","",""
"AC007566.1","Unmatched","","","",""
"AC079781.5","Unmatched","","","",""
"MAP11","Previous symbol","TRAPPC14","trafficking protein particle complex subunit 14","HGNC:25604","7q22.1"
"CASTOR3","Previous symbol","CASTOR3P","CASTOR family member 3, pseudogene","HGNC:29954","7q22.1"
"AC006329.1","Unmatched","","","",""
"AC007032.1","Alias symbol","NAMPT-AS1","NAMPT antisense RNA 1","HGNC:56696","7q22.3"
"AC002467.1","Unmatched","","","",""
"AC006333.2","Unmatched","","","",""
"AC090114.2","Alias symbol","LINC03072","long intergenic non-protein coding RNA 3072","HGNC:56650","7q32.1"
"FAM71F2","Previous symbol","GARIN1A","golgi associated RAB2 interactor 1A","HGNC:27998","7q32.1"
"AC078846.1","Unmatched","","","",""
"AC009275.1","Unmatched","","","",""
"AC083862.3","Unmatched","","","",""
"TTC26","Previous symbol","IFT56","intraflagellar transport 56","HGNC:21882","7q34"
"AC083880.1","Unmatched","","","",""
"AC004918.1","Unmatched","","","",""
"AC004918.4","Unmatched","","","",""
"AC093673.1","Unmatched","","","",""
"AC004889.1","Unmatched","","","",""
"AC005229.4","Unmatched","","","",""
"ZBED6CL","Previous symbol","ZBED10P","zinc finger BED-type containing 10, pseudogene","HGNC:21720","7q36.1"
"AC073111.4","Unmatched","","","",""
"AC021097.1","Unmatched","","","",""
"PAXIP1-AS1","Previous symbol","PAXIP1-DT","PAXIP1 divergent transcript","HGNC:27328","7q36.2"
"AC144652.1","Unmatched","","","",""
"AC009403.1","Unmatched","","","",""
"LINC01006","Previous symbol","RNF32-DT","RNF32 divergent transcript","HGNC:48971","7q36.3"
"WDR60","Previous symbol","DYNC2I1","dynein 2 intermediate chain 1","HGNC:21862","7q36.3"
"AC100810.1","Unmatched","","","",""
"AC100810.7","Unmatched","","","",""
"AC016065.1","Unmatched","","","",""
"AC022784.1","Unmatched","","","",""
